Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Якименко,Ігор,Володимирович,Чоловік,1939-10-16,Футболіст,село Суходільськ,"шосе Лінія 53-тя, буд. 32 кв. 626, Зимогір'я, 66938",+380 54 526-87-07,mykhailopavlenko@example.org
Ющенко,Ганна,Володимирівна,Жінка,1974-10-31,Зоолог,місто Ходорів,"проспект Розумовський 1-й, буд. 79, Лохвиця, 61413",002 000 79 98,zynovii03@example.com
Алексеєнко,Аніта,Олегівна,Жінка,1952-08-01,Локсмайстер,хутір Чигирин,"набережна Вітчизняна, буд. 8, Ізмаїл, 56160",493-60-10,martynudovychenko@example.org
Удовиченко,Світлана,Богданівна,Жінка,1975-02-10,Флорист,селище Самбір,"проспект Бузковий 1-й, буд. 17, Дніпрорудне, 12730",105 89 31,pavlo18@example.org
Якименко,Леон,Олександрович,Чоловік,1986-09-12,Публіцист,село Рені,"провулок Покровський, буд. 0 кв. 8, Бучач, 61329",464-29-43,avhustyn47@example.net
Жарко,Єфрем,Степанович,Чоловік,1952-06-20,Будник,село Вознесенськ,"площа Партизанської Слави, буд. 611, Підгородне, 83972",+380 (71) 354-90-59,silienko@example.org
Медведенко,Богуслав,Дмитрович,Чоловік,1999-02-17,Провізор,хутір Кам'янка-Дніпровська,"парк Брестська, буд. 997 кв. 863, Приморськ (Україна), 95884",430-50-58,tandroshchuk@example.com
Андрусенко,Ярема,Григорович,Чоловік,1938-04-03,Правник,хутір Чернівці,"проспект 11-та Суворовська, буд. 3, Радивилів, 79412",081 465-77-82,demyd04@example.org
Барабаш,Семен,Олегович,Чоловік,2000-08-27,Геолог,місто Зимогір'я,"парк Романтиків, буд. 762, Токмак, 04447",+380 98 227-32-72,vadymzatula@example.org
Верес,Єлисавета,Юріївна,Жінка,1993-10-31,Фотограф,хутір Мена ,"шосе Сергія Ейзенштейна, буд. 09, Самбір, 66659",890-66-75,dmytrotokar@example.org
Левченко,Аніта,Олегівна,Жінка,1972-03-17,Драматург,місто Вуглегірськ,"узвіз Садова 5-та, буд. 095, Андрушівка, 38816",+380 67 826-84-39,wcharnysh@example.com
Терещенко,Марко,Васильович,Чоловік,1998-02-16,Літературознавець,хутір Бориспіль,"проспект Кришталевий, буд. 4, Молочанськ, 70670",753-96-25,vira71@example.com
Симоненко,Нестор,Юрійович,Чоловік,1999-02-25,Педагог,хутір Кривий Ріг,"парк Чапаєва, буд. 2, Алмазна, 11098",+380 88 395-23-99,artiushenkomakar@example.net
Єфименко,Сніжана,Олегівна,Жінка,1998-04-09,Художник,село Герца,"парк Героїв прикордонників, буд. 42, Костянтинівка, 70524",+380 38 925-93-37,kkaras@example.org
Ващенко-Захарченко,Амвросій,Олександрович,Чоловік,1956-11-04,Сантехнік,селище Чернігів,"узвіз Докова, буд. 9 кв. 455, Ковель, 73382",+380 (50) 586-95-86,thaida@example.net
Карпенко,Данило,Григорович,Чоловік,1975-04-05,Програміст,селище Дубно,"проспект Центральна, буд. 7 кв. 5, Чорноморськ, 17999",152 42 22,triabovil@example.net
Бабенко,Володимира,Василівна,Жінка,1989-08-05,Нотаріус,селище Рубіжне,"узвіз Новосельского, буд. 538 кв. 15, Білопілля, 40039",+380 15 398-51-41,alina87@example.com
Єресько,Ярема,Васильович,Чоловік,1974-10-26,Менеджер,селище Середина-Буда,"узвіз Джерельна, буд. 2 кв. 5, Щолкіне, 64576",043 336 87 95,korolenkomaryna@example.org
Іваненко,Ольга,Андріївна,Жінка,2002-03-10,Краєзнавець,селище Калинівка ,"шосе Магнітогорська, буд. 9, Лутугине, 92185",+380 97 915-50-03,akulenkovalerii@example.org
Палій,Аліна,Михайлівна,Жінка,1975-04-07,Електротехнік,село Сімферополь,"вулиця Східчастий 4-й, буд. 1 кв. 05, Саки , 47214",+380 55 347-13-82,usyknadiia@example.com
Охріменко,Орися,Олександрівна,Жінка,1964-01-26,Медик,село Ватутіне,"провулок Герцена, буд. 8, Знам'янка, 02033",936 84 94,svyrydenkoorest@example.com
Акуленко,Панас,Степанович,Чоловік,1997-05-21,Пілот,село Барвінкове,"шосе Мічуріна, буд. 77 кв. 933, Вишгород, 35056",+380 (69) 736-26-50,halyna56@example.com
Власенко,Орест,Васильович,Чоловік,1940-02-05,Електрик,місто Баранівка,"набережна Тетяни Тесс, буд. 404 кв. 914, Мелітополь, 95136",893 99 06,nadiia19@example.org
Величко,Віолетта,Євгенівна,Жінка,1973-04-28,Етнограф,місто Південне ,"проспект Таїрова, буд. 08 кв. 79, Калуш, 90643",+380 53 929 37 98,austenko@example.org
Байда,Емілія,Володимирівна,Жінка,2003-07-03,Доцент,хутір Первомайськ,"сквер Селищна, буд. 67, Хорол , 67547",+380 (73) 841-48-20,hermanvelychko@example.net
Засядько,Павло,Євгенович,Чоловік,1953-05-07,Мірошник,хутір Генічеськ,"парк Єлисаветградський, буд. 66, Хрустальний, 28436",017 045-84-97,mykhailyna29@example.net
Ващенко-Захарченко,Ольга,Григорівна,Жінка,1944-03-21,Стиліст,село Горішні Плавні,"проспект Десятого квітня, буд. 511 кв. 10, Щастя , 83963",+380 (11) 380-54-73,markozhaivoron@example.net
Левченко,Марко,Юрійович,Чоловік,1939-03-18,Петрограф,селище Броди,"провулок Товарний, буд. 8 кв. 6, Шахтарськ, 75889",+380 04 508 35 72,ochalyi@example.com
Кабаненко,Євген,Богданович,Чоловік,1990-04-11,Детектив,місто Первомайськ,"вулиця Новобазарний, буд. 876, Славута, 88067",+380 31 369-71-79,vladyslav39@example.com
Гавришкевич,Марта,Григорівна,Жінка,1969-09-29,Художник,хутір Нововолинськ,"шосе Шампанський, буд. 2 кв. 47, Жашків, 74349",431 02 24,xmalyk@example.com
Андрієнко,Роксолана,Степанівна,Жінка,1997-10-09,Ді-джей,селище Борщів,"проспект Сортувальна 2-га, буд. 7, Теплодар, 31225",083 009 45 94,kostiantyn65@example.com
Бабич,Давид,Степанович,Чоловік,1989-12-30,Швачка,село Вільнянськ,"парк Ляпідевського, буд. 9 кв. 47, Волноваха, 57968",+380 (47) 763-01-43,sachenkoolena@example.org
Яремко,Марія,Олегівна,Жінка,1996-05-29,Режисер,селище Черкаси,"узвіз Травневий 5-й, буд. 588, Бобровиця, 54747",+380 76 177-58-21,dereviankoedyta@example.net
Каденюк,Гаврило,Михайлович,Чоловік,1961-09-15,Гірник,хутір Лисичанськ,"провулок Лінія 28-ма, буд. 21 кв. 72, Вознесенівка, 83822",035 968-78-14,varvara84@example.net
Михалюк,Кирило,Петрович,Чоловік,2007-08-17,Кушнір,село Мукачево,"вулиця Махачкалинська, буд. 22, Алмазна, 11706",+380 91 381-81-10,albert04@example.com
Андрейко,Охрім,Степанович,Чоловік,1957-04-26,Євнух,село Нетішин,"набережна 8-ма Лінія Дачі Ковалевського, буд. 37 кв. 2, Володимир-Волинський, 15490",085 034 99 39,odarkaadamchuk@example.com
Бебешко,Віолетта,Юріївна,Жінка,1941-07-14,Астрофізик,місто Перечин,"провулок Ватманський, буд. 26 кв. 317, Барвінкове, 62598",+380 32 457-03-38,iaroslavkonoplia@example.org
Гупало,Яків,Дмитрович,Чоловік,1938-05-14,Юрист,хутір Богуслав,"шосе Самодіяльна, буд. 65 кв. 04, Тлумач, 45566",+380 (05) 835-24-75,hlibchubai@example.com
Полтавець,Леонід,Дмитрович,Чоловік,1974-12-18,Гінеколог,село Бердичів,"набережна Нескучна, буд. 1, Путивль, 80722",016 204-52-90,saienkovira@example.com
Гречко,Михайло,Андрійович,Чоловік,1951-01-21,Пекар,село Алчевськ,"узвіз Селищна, буд. 032, Дубровиця, 06662",030 609-32-46,whaidai@example.net
